LocationID,Country,State,City
1,Belize,Virginia,South Kimberly
2,Tokelau,Georgia,New Christopherport
3,Venezuela,Pennsylvania,Woodview
4,Sudan,New Hampshire,Port Rachel
5,Somalia,New York,Farmerborough
6,Kyrgyz Republic,Maine,Patrickfurt
7,Belize,Hawaii,Crystalborough
8,Greenland,South Carolina,New Wayneton
9,Ecuador,Massachusetts,Davisville
10,Luxembourg,West Virginia,North Alexisview
11,Spain,Florida,North Heathermouth
12,Peru,Georgia,Sullivanmouth
13,Zimbabwe,New Hampshire,West Tammy
14,Nepal,Iowa,New Rhondaview
15,Bangladesh,Washington,New Charlesstad
16,Djibouti,Maryland,Morrisbury
17,Togo,Hawaii,New Stefanie
18,Cocos (Keeling) Islands,Wisconsin,North William
19,Madagascar,Rhode Island,Michaelshire
20,Ireland,Nebraska,Loritown
21,Guatemala,Wyoming,Keithbury
22,Gambia,Kansas,Robinsonshire
23,Zambia,North Carolina,Meredithbury
24,Sierra Leone,Maine,Taylorview
25,Uzbekistan,Maine,South Tiffany
26,North Macedonia,Michigan,South Brianview
27,Belize,Texas,Dennistown
28,Isle of Man,Arkansas,Morganberg
29,Spain,Delaware,North Tamara
30,Cayman Islands,Missouri,Annetteview
31,Ecuador,Georgia,Kennethton
32,Timor-Leste,Connecticut,Beverlyland
33,Cuba,Georgia,Port Dawn
34,Bangladesh,New Mexico,Morganhaven
35,Slovenia,Arizona,Haydenview
36,Uruguay,Hawaii,Millsview
37,Philippines,Delaware,Mathischester
38,Turkey,Maine,New Melissaburgh
39,Saint Martin,New Hampshire,South Julie
40,Pitcairn Islands,Iowa,West Jennifer
41,Malaysia,Massachusetts,Port Steven
42,French Polynesia,Pennsylvania,Meadowsborough
43,Serbia,Massachusetts,Brownview
44,Mauritania,West Virginia,Lake Angie
45,Bangladesh,Delaware,Lake Matthewborough
46,Bosnia and Herzegovina,Michigan,Port Mariahport
47,Cocos (Keeling) Islands,Indiana,Reginamouth
48,Pakistan,New Mexico,New Ericaside
49,Central African Republic,Missouri,Hicksshire
50,Western Sahara,Pennsylvania,West Brianberg
51,Norfolk Island,Indiana,Byrdton
52,Samoa,Colorado,Lake Colintown
53,Anguilla,Pennsylvania,North Alexton
54,Denmark,Kentucky,Raymondview
55,Netherlands,Missouri,Annland
56,Qatar,Utah,South Evan
57,Maldives,Washington,Port Chadfort
58,Niger,Virginia,Perkinsberg
59,Bangladesh,Missouri,Port Adam
60,New Caledonia,Minnesota,Port Nicolebury
61,Kuwait,Maine,West Wesley
62,Taiwan,Kansas,South Christyfurt
63,Mauritius,Colorado,South Bryan
64,Trinidad and Tobago,Tennessee,South Reneeton
65,Georgia,Montana,New Scottville
66,Northern Mariana Islands,Indiana,Lake Danielle
67,Haiti,Vermont,South Robinview
68,Antarctica (the territory South of 60 deg S),North Carolina,New Barbara
69,Djibouti,Connecticut,Timothyland
70,Kuwait,Virginia,Fergusonfurt
71,Honduras,Indiana,Rachelberg
72,United States Virgin Islands,Alabama,New Carla
73,Sri Lanka,Utah,Williamsview
74,Christmas Island,Missouri,West Brianport
75,Reunion,New Hampshire,Maxwellstad
76,Barbados,Tennessee,West Emilyland
77,Turkey,New Jersey,Singletonstad
78,Haiti,Indiana,Port Paul
79,Australia,Kansas,Murphyview
80,Guatemala,Alaska,West Veronica
81,Madagascar,Nebraska,South Diane
82,Reunion,Texas,Huertamouth
83,Northern Mariana Islands,West Virginia,New Kristintown
84,Somalia,North Dakota,West Dale
85,Australia,Iowa,Lake Lauren
86,New Caledonia,Connecticut,Angelborough
87,Moldova,Nevada,Monicafurt
88,Korea,New Jersey,South Arthurside
89,Bosnia and Herzegovina,Hawaii,New Roger
90,Liberia,Michigan,Cochranport
91,Chad,Ohio,South Jose
92,Sri Lanka,Arkansas,Jamiemouth
93,Turkey,Utah,Christinafort
94,Guyana,New Mexico,South Luisborough
95,Nepal,Oklahoma,Mortonview
96,Tuvalu,Rhode Island,Pittmanport
97,Mauritius,New Mexico,Brownfurt
98,United Kingdom,Wyoming,Lake Dianastad
99,United States Virgin Islands,Massachusetts,Lake Destinyton
100,Czech Republic,New Hampshire,Lake Michael
